Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,4.0,4.0,3.299999952316284,3.5399999618530273,1496100.0
2025-04-07,3.2899999618530273,3.5299999713897705,3.0299999713897705,3.1500000953674316,781600.0
2025-04-08,2.990000009536743,3.1500000953674316,2.799999952316284,3.0999999046325684,132400.0
2025-04-09,3.115000009536743,6.400000095367432,3.0950000286102295,6.400000095367432,3493500.0
2025-04-10,5.480000019073486,5.480000019073486,3.859999895095825,4.0,1123000.0
2025-04-11,3.440000057220459,4.289999961853027,3.380000114440918,4.019999980926514,330900.0
2025-04-14,3.950000047683716,4.320000171661377,3.4110000133514404,3.4570000171661377,406600.0
2025-04-15,3.5,3.6500000953674316,3.299999952316284,3.4200000762939453,92600.0
2025-04-16,3.25,3.549999952316284,3.049999952316284,3.2799999713897705,166000.0
2025-04-17,3.3399999141693115,3.3399999141693115,2.690000057220459,3.0399999618530273,186400.0
2025-04-21,2.9800000190734863,3.390000104904175,2.819000005722046,3.3499999046325684,71500.0
