Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,23.510000228881836,24.3799991607666,22.735000610351562,23.969999313354492,1500.0
2025-03-10,22.059999465942383,22.059999465942383,19.26799964904785,20.354000091552734,15100.0
2025-03-11,21.280000686645508,22.420000076293945,20.364999771118164,21.36199951171875,16500.0
2025-03-12,23.110000610351562,23.940000534057617,22.423999786376953,23.10099983215332,22500.0
2025-03-13,23.049999237060547,24.219999313354492,21.889999389648438,22.35099983215332,9700.0
2025-03-14,23.5,23.5,22.1200008392334,22.349000930786133,21300.0
2025-03-17,23.21299934387207,23.420000076293945,22.399999618530273,23.4060001373291,8800.0
2025-03-18,22.67099952697754,23.09000015258789,21.660999298095703,21.97800064086914,12100.0
2025-03-19,22.170000076293945,23.579999923706055,22.059999465942383,22.93000030517578,11400.0
2025-03-20,22.540000915527344,23.760000228881836,22.540000915527344,23.40999984741211,8600.0
2025-03-21,22.25,23.479999542236328,22.049999237060547,23.299999237060547,10200.0
2025-03-24,23.899999618530273,24.857999801635742,23.899999618530273,24.84000015258789,10100.0
2025-03-25,24.959999084472656,25.030000686645508,23.951000213623047,24.139999389648438,11500.0
2025-03-26,23.209999084472656,23.209999084472656,20.354999542236328,20.81999969482422,54100.0
2025-03-27,20.440000534057617,20.540000915527344,19.139999389648438,19.6299991607666,23800.0
2025-03-28,19.549999237060547,19.549999237060547,17.5,17.899999618530273,30300.0
2025-03-31,16.920000076293945,17.65999984741211,16.392000198364258,17.6299991607666,20600.0
