Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,,,,,
2025-04-23,,,,,
2025-04-24,,,,,
2025-04-25,,,,,
2025-04-28,,,,,
2025-04-29,,,,,
2025-04-30,,,,,
2025-05-01,,,,,
2025-05-02,,,,,
2025-05-05,,,,,
2025-05-06,,,,,
2025-05-07,,,,,
2025-05-08,,,,,
2025-05-09,,,,,
2025-05-12,,,,,
2025-05-13,,,,,
2025-05-14,,,,,
2025-05-15,,,,,
2025-05-16,,,,,
2025-05-19,,,,,
2025-05-20,,,,,
2025-05-21,,,,,
2025-05-22,10.0600004196167,10.0600004196167,10.020000457763672,10.020000457763672,14106700.0
2025-05-23,10.020000457763672,10.029999732971191,10.010000228881836,10.010000228881836,1570000.0
2025-05-27,10.0,10.029999732971191,10.0,10.024999618530273,1349300.0
2025-05-28,10.020000457763672,10.029999732971191,10.020000457763672,10.020000457763672,1237100.0
2025-05-29,10.020000457763672,10.029999732971191,10.005000114440918,10.020000457763672,633500.0
2025-05-30,10.020000457763672,10.029999732971191,10.020000457763672,10.029999732971191,12300.0
2025-06-02,10.020000457763672,10.039999961853027,10.020000457763672,10.029999732971191,72200.0
2025-06-03,10.09000015258789,10.09000015258789,10.029999732971191,10.0600004196167,914300.0
2025-06-04,10.050000190734863,10.079999923706055,10.050000190734863,10.079999923706055,112000.0
2025-06-05,10.074999809265137,10.079999923706055,10.069999694824219,10.079999923706055,357300.0
2025-06-06,10.09000015258789,10.09000015258789,10.09000015258789,10.09000015258789,7500.0
2025-06-09,10.069999694824219,10.09000015258789,10.069999694824219,10.09000015258789,14200.0
2025-06-10,10.079999923706055,10.09000015258789,10.079999923706055,10.09000015258789,5000.0
2025-06-11,10.085000038146973,10.100000381469727,10.069999694824219,10.069999694824219,37600.0
2025-06-12,10.079999923706055,10.100000381469727,10.079999923706055,10.097999572753906,17800.0
2025-06-13,10.100000381469727,10.100000381469727,10.09000015258789,10.100000381469727,6400.0
2025-06-16,10.100000381469727,10.109999656677246,10.100000381469727,10.100000381469727,104000.0
2025-06-17,10.079999923706055,10.100000381469727,10.079999923706055,10.097999572753906,6500.0
2025-06-18,10.095999717712402,10.119999885559082,10.079999923706055,10.109999656677246,166600.0
2025-06-20,10.109999656677246,10.109999656677246,10.104000091552734,10.104000091552734,1200.0
2025-06-23,10.119999885559082,10.119999885559082,10.100000381469727,10.109999656677246,58600.0
2025-06-24,10.104999542236328,10.109999656677246,10.104999542236328,10.105999946594238,2100.0
2025-06-25,10.100000381469727,10.128999710083008,10.100000381469727,10.104000091552734,421000.0
2025-06-26,10.109999656677246,10.119999885559082,10.109999656677246,10.109999656677246,86300.0
2025-06-27,10.109999656677246,10.119999885559082,10.109999656677246,10.116000175476074,77300.0
2025-06-30,10.109999656677246,10.119999885559082,10.109999656677246,10.119999885559082,66400.0
2025-07-01,10.114999771118164,10.119999885559082,10.114999771118164,10.119999885559082,4100.0
2025-07-02,10.119999885559082,10.119999885559082,10.109999656677246,10.109999656677246,35800.0
2025-07-03,10.109999656677246,10.109999656677246,10.109999656677246,10.109999656677246,0.0
2025-07-07,10.119999885559082,10.119999885559082,10.119999885559082,10.119999885559082,1100.0
2025-07-08,10.119999885559082,10.130000114440918,10.119999885559082,10.130000114440918,176300.0
2025-07-09,10.135000228881836,10.140000343322754,10.119999885559082,10.119999885559082,128300.0
2025-07-10,10.119999885559082,10.199999809265137,10.119999885559082,10.130000114440918,450300.0
2025-07-11,10.1850004196167,10.1850004196167,10.119999885559082,10.15999984741211,498300.0
2025-07-14,10.343000411987305,10.343000411987305,10.140000343322754,10.142000198364258,3000.0
2025-07-15,10.15999984741211,10.15999984741211,10.149999618530273,10.149999618530273,17600.0
2025-07-16,10.15999984741211,10.15999984741211,10.15999984741211,10.15999984741211,1600.0
2025-07-17,10.15999984741211,10.15999984741211,10.15999984741211,10.15999984741211,0.0
2025-07-18,,,,,
