date,symbol,total_market_volume,Close,Open,High,Low,total_off_exchange_volume,short_volume,short_exempt_volume,on_exchange_volume,off_exchange_pct,on_exchange_pct,short_pct_of_off_exchange
2025-01-27,GOOGL,41728900,191.35768127441406,191.9562724749805,196.41573277306145,190.28022624707842,13723194,4111612,137193,28005706,32.9,67.1,30.0
2025-01-28,GOOGL,24157900,194.83946228027344,192.2954724407757,195.01903051179218,190.23034644146827,7514218,2258536,7768,16643682,31.1,68.9,30.1
2025-01-29,GOOGL,18218300,194.94920349121094,195.09884368413952,196.32593893457488,192.97386160771165,5898781,1779085,4815,12319519,32.4,67.6,30.2
2025-01-30,GOOGL,24354700,200.3963165283203,197.53308924739613,200.9250654988853,197.203865605247,8910006,3044698,18684,15444694,36.6,63.4,34.2
2025-01-31,GOOGL,32001100,203.53890991210938,201.523668960122,204.99545859863298,201.3241436195745,9531887,3641172,17845,22469213,29.8,70.2,38.2
2025-02-03,GOOGL,27838300,200.75546264648438,200.2167427524067,203.26952433872827,199.62813772190552,8401181,2733602,13796,19437119,30.2,69.8,32.5
2025-02-04,GOOGL,43856400,205.89334106445312,202.91038629062132,206.5617593135444,202.33175215943618,13697914,4107836,14955,30158486,31.2,68.8,30.0
2025-02-05,GOOGL,70373900,190.8788299560547,190.61944853764197,192.29547965256887,187.58660858281107,29550174,14536387,35752,40823726,42.0,58.0,49.2
2025-02-06,GOOGL,29297400,191.148193359375,189.05313928868878,191.64701430736628,188.274979827647,10862121,3876892,18650,18435279,37.1,62.9,35.7
2025-02-07,GOOGL,49315000,184.90293884277344,190.59948056645624,190.7291636568626,182.80790006860101,19808932,6448229,24131,29506068,40.2,59.8,32.6
2025-02-10,GOOGL,23105600,186.03028869628906,186.90821845084508,187.75620494303442,185.42172652057317,7773415,1542993,14266,15332185,33.6,66.4,19.8
2025-02-11,GOOGL,21239500,184.8830108642578,184.59368617808016,186.49918592908514,183.84545472617006,7021728,1722672,3617,14217772,33.1,66.9,24.5
2025-02-12,GOOGL,22072600,183.17703247070312,182.7879527330869,184.6734953419666,181.40123108129507,8026038,2252658,23157,14046562,36.4,63.6,28.1
2025-02-13,GOOGL,21402500,185.70106506347656,183.8853646978078,185.84073432237415,182.70813932469304,7149207,1774414,23462,14253293,33.4,66.6,24.8
2025-02-14,GOOGL,20448400,184.79319763183594,184.62360034222002,185.96043678235034,183.88535510775145,8022425,2502803,7096,12425975,39.2,60.8,31.2
2025-02-18,GOOGL,29916700,183.33663940429688,185.1623257405275,185.52147740048773,181.31142775093412,11442367,3345567,11409,18474333,38.2,61.8,29.2
2025-02-19,GOOGL,19549400,184.83311462402344,183.63594741741645,185.02266901610753,183.1570683565281,7940736,1200244,12921,11608664,40.6,59.4,15.1
2025-02-20,GOOGL,20441500,184.12478637695312,184.36422591283684,184.8730178009315,182.28912893693322,8156294,1365980,7723,12285206,39.9,60.1,16.7
2025-02-21,GOOGL,35199200,179.23634338378906,184.71338754923798,184.90294194163184,178.65770926804197,13465088,3221997,19893,21734112,38.3,61.7,23.9
2025-02-24,GOOGL,29854200,178.82730102539062,181.56084516562646,182.68817010091686,178.4681493516575,9135486,2122159,15723,20718714,30.6,69.4,23.2
2025-02-25,GOOGL,41913400,175.00633239746094,177.620149186563,178.3185106633885,174.27805810561316,15561820,4431967,27969,26351580,37.1,62.9,28.5
2025-02-26,GOOGL,35431300,172.3226776123047,174.6571711800562,175.66478399830825,171.1753955398117,12405510,3256906,21267,23025790,35.0,65.0,26.3
2025-02-27,GOOGL,39991000,168.1026611328125,173.5797206760448,174.14836864650957,167.54398410119538,11916107,2456301,25782,28074893,29.8,70.2,20.6
2025-02-28,GOOGL,48130600,169.87844848632812,168.28221547961908,170.2076721148171,166.37673116608275,11936589,2150761,13496,36194011,24.8,75.2,18.0
2025-03-03,GOOGL,40770500,166.6161651611328,171.52456139173032,172.96116813684316,165.53871010229818,12093593,2449984,13145,28676907,29.7,70.3,20.3
2025-03-04,GOOGL,45388000,170.51695251464844,165.84799570787212,172.88135895735127,165.40903083418053,16584054,3485661,37107,28803946,36.5,63.5,21.0
2025-03-05,GOOGL,30954900,172.61199951171875,170.11789485258495,173.370201847885,168.66133103361582,9689206,3193400,6631,21265694,31.3,68.7,33.0
2025-03-06,GOOGL,28302000,171.94357299804688,170.1278575868108,174.39776333951255,170.09792955016897,10383002,3581705,9072,17918998,36.7,63.3,34.5
2025-03-07,GOOGL,27385800,173.4500274658203,170.8561523451318,174.55741062282402,169.86849657186352,10342491,2144068,12335,17043309,37.8,62.2,20.7
2025-03-10,GOOGL,43604000,165.66943359375,168.05654311824674,168.25631348073628,163.49207685373173,15436913,3263990,53715,28167087,35.4,64.6,21.1
2025-03-11,GOOGL,39587400,163.84164428710938,164.71060268982163,166.5483741956788,161.17487454711969,11319138,2097625,13953,28268262,28.6,71.4,18.5
2025-03-12,GOOGL,28372400,166.90794372558594,166.37858578107983,167.43730167009207,163.33227056435828,9743764,3167436,5157,18628636,34.3,65.7,32.5
2025-03-13,GOOGL,31756200,162.56320190429688,165.8392348472833,165.92913761122173,161.91399391340872,9196183,3379665,15891,22560017,29.0,71.0,36.8
2025-03-14,GOOGL,31995900,165.28990173339844,163.07258484755664,166.28869257421587,162.25356904272374,10413277,3432184,7347,21582623,32.5,67.5,33.0
2025-03-17,GOOGL,31184300,164.09133911132812,164.83044981365524,166.0989184378049,163.47209367229158,9000064,1972089,5875,22184236,28.9,71.1,21.9
