date,symbol,total_market_volume,Close,Open,High,Low,total_off_exchange_volume,short_volume,short_exempt_volume,on_exchange_volume,off_exchange_pct,on_exchange_pct,short_pct_of_off_exchange
2025-01-27 00:00:00-05:00,OUST,1738200,9.680000305175781,9.90999984741211,9.989999771118164,9.399999618530273,0,0,0,1738200,0,100,0
2025-01-28 00:00:00-05:00,OUST,818300,9.739999771118164,9.819999694824219,9.9350004196167,9.425000190734863,0,0,0,818300,0,100,0
2025-01-29 00:00:00-05:00,OUST,788600,9.460000038146973,9.739999771118164,9.899999618530273,9.390000343322754,0,0,0,788600,0,100,0
2025-01-30 00:00:00-05:00,OUST,1035800,9.880000114440918,9.699999809265137,10.109999656677246,9.550000190734863,0,0,0,1035800,0,100,0
2025-01-31 00:00:00-05:00,OUST,1065700,9.960000038146973,10.069999694824219,10.729999542236328,9.859999656677246,0,0,0,1065700,0,100,0
2025-02-03 00:00:00-05:00,OUST,1057200,9.550000190734863,9.460000038146973,9.8100004196167,9.25,0,0,0,1057200,0,100,0
2025-02-04 00:00:00-05:00,OUST,1084100,10.100000381469727,9.739999771118164,10.3100004196167,9.710000038146973,0,0,0,1084100,0,100,0
2025-02-05 00:00:00-05:00,OUST,978000,10.279999732971191,10.109999656677246,10.781999588012695,10.0,0,0,0,978000,0,100,0
2025-02-06 00:00:00-05:00,OUST,1466700,11.050000190734863,10.4399995803833,11.260000228881836,10.3100004196167,0,0,0,1466700,0,100,0
2025-02-07 00:00:00-05:00,OUST,1883000,10.390000343322754,11.079999923706055,11.479999542236328,10.199999809265137,0,0,0,1883000,0,100,0
2025-02-10 00:00:00-05:00,OUST,790400,10.279999732971191,10.619999885559082,10.829999923706055,10.199999809265137,0,0,0,790400,0,100,0
2025-02-11 00:00:00-05:00,OUST,1125300,9.710000038146973,9.970000267028809,10.180000305175781,9.569999694824219,0,0,0,1125300,0,100,0
2025-02-12 00:00:00-05:00,OUST,1061900,9.600000381469727,9.489999771118164,9.989999771118164,9.489999771118164,0,0,0,1061900,0,100,0
2025-02-13 00:00:00-05:00,OUST,772900,10.09000015258789,9.739999771118164,10.15999984741211,9.649999618530273,0,0,0,772900,0,100,0
2025-02-14 00:00:00-05:00,OUST,887400,9.829999923706055,10.15999984741211,10.279999732971191,9.739999771118164,0,0,0,887400,0,100,0
2025-02-18 00:00:00-05:00,OUST,728400,10.050000190734863,9.90999984741211,10.289999961853027,9.880000114440918,0,0,0,728400,0,100,0
2025-02-19 00:00:00-05:00,OUST,907100,10.210000038146973,9.869999885559082,10.550000190734863,9.869999885559082,0,0,0,907100,0,100,0
2025-02-20 00:00:00-05:00,OUST,1075200,9.850000381469727,10.210000038146973,10.319999694824219,9.539999961853027,0,0,0,1075200,0,100,0
2025-02-21 00:00:00-05:00,OUST,1511400,8.869999885559082,10.069999694824219,10.149999618530273,8.84000015258789,0,0,0,1511400,0,100,0
2025-02-24 00:00:00-05:00,OUST,1596700,8.270000457763672,8.8100004196167,8.876999855041504,8.199999809265137,0,0,0,1596700,0,100,0
2025-02-25 00:00:00-05:00,OUST,1099600,8.039999961853027,8.199999809265137,8.289999961853027,7.869999885559082,0,0,0,1099600,0,100,0
2025-02-26 00:00:00-05:00,OUST,870900,8.319999694824219,8.15999984741211,8.640000343322754,8.140000343322754,0,0,0,870900,0,100,0
2025-02-27 00:00:00-05:00,OUST,883800,8.09000015258789,8.40999984741211,8.545000076293945,7.880000114440918,0,0,0,883800,0,100,0
2025-02-28 00:00:00-05:00,OUST,777700,8.25,7.929999828338623,8.350000381469727,7.809999942779541,0,0,0,777700,0,100,0
2025-03-03 00:00:00-05:00,OUST,1081200,7.690000057220459,8.399999618530273,8.479000091552734,7.625,0,0,0,1081200,0,100,0
2025-03-04 00:00:00-05:00,OUST,1095900,7.769999980926514,7.460000038146973,8.0600004196167,7.28000020980835,0,0,0,1095900,0,100,0
2025-03-05 00:00:00-05:00,OUST,834200,8.350000381469727,7.920000076293945,8.390000343322754,7.659999847412109,0,0,0,834200,0,100,0
2025-03-06 00:00:00-05:00,OUST,768700,7.980000019073486,8.0,8.319999694824219,7.809999942779541,0,0,0,768700,0,100,0
2025-03-07 00:00:00-05:00,OUST,814300,8.079999923706055,7.860000133514404,8.109999656677246,7.659999847412109,0,0,0,814300,0,100,0
2025-03-10 00:00:00-04:00,OUST,1094200,7.650000095367432,7.809999942779541,7.909999847412109,7.505000114440918,0,0,0,1094200,0,100,0
2025-03-11 00:00:00-04:00,OUST,724900,7.849999904632568,7.650000095367432,8.005000114440918,7.559999942779541,0,0,0,724900,0,100,0
2025-03-12 00:00:00-04:00,OUST,1786300,7.480000019073486,8.170000076293945,8.265000343322754,7.400000095367432,0,0,0,1786300,0,100,0
2025-03-13 00:00:00-04:00,OUST,1120800,7.559999942779541,7.400000095367432,7.710000038146973,7.28000020980835,0,0,0,1120800,0,100,0
2025-03-14 00:00:00-04:00,OUST,889700,7.96999979019165,7.75,7.980000019073486,7.539999961853027,0,0,0,889700,0,100,0
2025-03-17 00:00:00-04:00,OUST,1115000,8.510000228881836,8.020000457763672,8.619999885559082,7.96999979019165,0,0,0,1115000,0,100,0
2025-03-18 00:00:00-04:00,OUST,706900,8.15999984741211,8.25,8.359999656677246,7.980000019073486,0,0,0,706900,0,100,0
