Date,Open,High,Low,Close,Volume
2025-01-21,0.12999999523162842,0.13199999928474426,0.12999999523162842,0.13199999928474426,945.0
2025-01-22,0.13199999928474426,0.13830000162124634,0.13199999928474426,0.13199999928474426,1500.0
2025-01-23,,,,,
2025-01-24,0.13199999928474426,0.13770000636577606,0.13199999928474426,0.13199999928474426,1700.0
2025-01-27,,,,,
2025-01-28,0.14000000059604645,0.14000000059604645,0.12999999523162842,0.1340000033378601,1053.0
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,0.1340000033378601,0.1340000033378601,0.1340000033378601,0.1340000033378601,296.0
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,0.13009999692440033,0.13009999692440033,0.13009999692440033,0.13009999692440033,250.0
2025-02-07,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,75000.0
2025-02-10,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,24200.0
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,0.14800000190734863,0.14800000190734863,0.14800000190734863,0.14800000190734863,100.0
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,0.15399999916553497,0.1599999964237213,0.12999999523162842,0.13009999692440033,5500.0
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,0.15399999916553497,0.1599999964237213,0.15399999916553497,0.1599999964237213,27907.0
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,0.1599999964237213,0.19499999284744263,0.14000000059604645,0.18400000035762787,3505.0
2025-04-09,0.16609999537467957,0.16609999537467957,0.16609999537467957,0.16609999537467957,269.0
2025-04-10,,,,,
2025-04-11,0.13009999692440033,0.14505000412464142,0.13009999692440033,0.14505000412464142,391.0
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,,,,,
2025-04-23,,,,,
2025-04-24,,,,,
2025-04-25,,,,,
2025-04-28,,,,,
2025-04-29,,,,,
2025-04-30,,,,,
2025-05-01,,,,,
2025-05-02,,,,,
2025-05-05,,,,,
2025-05-06,0.14499999582767487,0.14499999582767487,0.14499999582767487,0.14499999582767487,2469.0
2025-05-07,,,,,
2025-05-08,,,,,
2025-05-09,,,,,
2025-05-12,,,,,
2025-05-13,0.1445000022649765,0.1445000022649765,0.1445000022649765,0.1445000022649765,500.0
2025-05-14,,,,,
2025-05-15,,,,,
2025-05-16,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,826.0
2025-05-19,,,,,
2025-05-20,,,,,
2025-05-21,,,,,
2025-05-22,,,,,
2025-05-23,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,2174.0
2025-05-27,0.1599999964237213,0.1599999964237213,0.14990000426769257,0.14990000426769257,73602.0
2025-05-28,,,,,
2025-05-29,,,,,
2025-05-30,0.1445000022649765,0.1599999964237213,0.1445000022649765,0.1599999964237213,15714.0
2025-06-02,,,,,
2025-06-03,,,,,
2025-06-04,,,,,
2025-06-05,0.14000000059604645,0.1599999964237213,0.14000000059604645,0.1599999964237213,10500.0
2025-06-06,0.15000000596046448,0.1599999964237213,0.15000000596046448,0.1599999964237213,24891.0
2025-06-09,0.1599999964237213,0.17000000178813934,0.1599999964237213,0.17000000178813934,1426.0
2025-06-10,0.1599999964237213,0.1751510053873062,0.1599999964237213,0.1751510053873062,6631.0
2025-06-11,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,1800.0
2025-06-12,0.17000000178813934,0.17000000178813934,0.1445000022649765,0.1445000022649765,26443.0
2025-06-13,0.15919999778270721,0.17000000178813934,0.13079999387264252,0.15000000596046448,3946.0
2025-06-16,0.17000000178813934,0.17499999701976776,0.1445000022649765,0.1445000022649765,2353.0
2025-06-17,0.1348000019788742,0.16099999845027924,0.13429999351501465,0.16099999845027924,843.0
2025-06-18,,,,,
2025-06-20,,,,,
2025-06-23,,,,,
2025-06-24,,,,,
2025-06-25,0.13179999589920044,0.15000000596046448,0.11909999698400497,0.15000000596046448,1790.0
2025-06-26,0.17399999499320984,0.17399999499320984,0.17399999499320984,0.17399999499320984,119.0
2025-06-27,0.13199999928474426,0.18000000715255737,0.13199999928474426,0.16750000417232513,6800.0
2025-06-30,0.18129999935626984,0.1899999976158142,0.12870000302791595,0.1899999976158142,5650.0
2025-07-01,0.1899999976158142,0.1899999976158142,0.14669999480247498,0.18979999423027039,11194.0
2025-07-02,0.18979999423027039,0.18979999423027039,0.17000000178813934,0.1896989941596985,7013.0
2025-07-03,0.18970000743865967,0.18970000743865967,0.18870000541210175,0.18970000743865967,3000.0
2025-07-07,,,,,
2025-07-08,,,,,
2025-07-09,0.18880000710487366,0.18889999389648438,0.18880000710487366,0.18889999389648438,1100.0
2025-07-10,0.1888899952173233,0.1888899952173233,0.1888899952173233,0.1888899952173233,125.0
2025-07-11,,,,,
2025-07-14,0.18889999389648438,0.18889999389648438,0.18790000677108765,0.18889999389648438,5158.0
2025-07-15,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.18000000715255737,1158.0
2025-07-16,,,,,
2025-07-17,0.17990000545978546,0.17990000545978546,0.17990000545978546,0.17990000545978546,2000.0
