Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,,,,,
2025-04-23,,,,,
2025-04-24,,,,,
2025-04-25,,,,,
2025-04-28,,,,,
2025-04-29,,,,,
2025-04-30,,,,,
2025-05-01,,,,,
2025-05-02,,,,,
2025-05-05,,,,,
2025-05-06,,,,,
2025-05-07,,,,,
2025-05-08,,,,,
2025-05-09,,,,,
2025-05-12,,,,,
2025-05-13,,,,,
2025-05-14,,,,,
2025-05-15,,,,,
2025-05-16,,,,,
2025-05-19,,,,,
2025-05-20,,,,,
2025-05-21,,,,,
2025-05-22,,,,,
2025-05-23,,,,,
2025-05-27,,,,,
2025-05-28,,,,,
2025-05-29,,,,,
2025-05-30,,,,,
2025-06-02,,,,,
2025-06-03,,,,,
2025-06-04,,,,,
2025-06-05,25.290000915527344,25.489999771118164,25.200000762939453,25.309999465942383,9900.0
2025-06-06,25.959999084472656,25.959999084472656,25.1299991607666,25.18400001525879,5100.0
2025-06-09,25.290000915527344,25.389999389648438,25.139999389648438,25.334999084472656,4700.0
2025-06-10,25.530000686645508,25.530000686645508,25.309999465942383,25.5049991607666,7900.0
2025-06-11,25.639999389648438,25.639999389648438,25.405000686645508,25.405000686645508,3300.0
2025-06-12,25.510000228881836,25.510000228881836,25.44300079345703,25.44300079345703,500.0
2025-06-13,25.0,25.104999542236328,24.915000915527344,24.915000915527344,3700.0
2025-06-16,24.979999542236328,25.31999969482422,24.979999542236328,25.264999389648438,2300.0
2025-06-17,25.149999618530273,25.149999618530273,24.920000076293945,24.920000076293945,2500.0
2025-06-18,25.243999481201172,25.270000457763672,25.177000045776367,25.184999465942383,3900.0
2025-06-20,25.040000915527344,25.040000915527344,24.854000091552734,24.864999771118164,3500.0
2025-06-23,25.010000228881836,25.219999313354492,24.889999389648438,25.209999084472656,21200.0
2025-06-24,26.010000228881836,28.610000610351562,25.780000686645508,26.024999618530273,17700.0
2025-06-25,26.06999969482422,26.06999969482422,25.836999893188477,26.010000228881836,37100.0
2025-06-26,26.049999237060547,26.18600082397461,26.0,26.100000381469727,193600.0
2025-06-27,26.110000610351562,26.14900016784668,25.860000610351562,25.93000030517578,116900.0
2025-06-30,26.25,26.25,25.950000762939453,26.100000381469727,81800.0
2025-07-01,26.010000228881836,26.06999969482422,25.540000915527344,25.93000030517578,73600.0
2025-07-02,25.790000915527344,26.038999557495117,25.711000442504883,26.010000228881836,9300.0
2025-07-03,26.1200008392334,26.15999984741211,26.06999969482422,26.139999389648438,14400.0
2025-07-07,25.799999237060547,26.0,25.299999237060547,25.489999771118164,42900.0
2025-07-08,25.780000686645508,26.0,25.700000762939453,25.979999542236328,79800.0
2025-07-09,25.979999542236328,25.979999542236328,25.549999237060547,25.690000534057617,30500.0
2025-07-10,26.0,26.25,25.899999618530273,26.149999618530273,415600.0
2025-07-11,26.15999984741211,26.350000381469727,26.070999145507812,26.239999771118164,363700.0
2025-07-14,26.520000457763672,26.559999465942383,26.299999237060547,26.5,48500.0
2025-07-15,26.979999542236328,26.979999542236328,26.649999618530273,26.700000762939453,59100.0
2025-07-16,26.829999923706055,26.87299919128418,26.5,26.8700008392334,70800.0
2025-07-17,,,,,
