Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,,,,,
2025-04-23,,,,,
2025-04-24,,,,,
2025-04-25,,,,,
2025-04-28,,,,,
2025-04-29,,,,,
2025-04-30,,,,,
2025-05-01,,,,,
2025-05-02,,,,,
2025-05-05,,,,,
2025-05-06,,,,,
2025-05-07,,,,,
2025-05-08,,,,,
2025-05-09,,,,,
2025-05-12,,,,,
2025-05-13,,,,,
2025-05-14,,,,,
2025-05-15,,,,,
2025-05-16,,,,,
2025-05-19,,,,,
2025-05-20,,,,,
2025-05-21,,,,,
2025-05-22,,,,,
2025-05-23,,,,,
2025-05-27,,,,,
2025-05-28,,,,,
2025-05-29,,,,,
2025-05-30,,,,,
2025-06-02,,,,,
2025-06-03,,,,,
2025-06-04,,,,,
2025-06-05,,,,,
2025-06-06,,,,,
2025-06-09,,,,,
2025-06-10,24.93000030517578,25.136999130249023,24.799999237060547,25.136999130249023,200.0
2025-06-11,25.65399932861328,25.65399932861328,25.65399932861328,25.65399932861328,100.0
2025-06-12,25.849000930786133,26.604999542236328,25.170000076293945,26.604999542236328,600.0
2025-06-13,27.450000762939453,27.450000762939453,26.250999450683594,26.250999450683594,700.0
2025-06-16,26.639999389648438,26.799999237060547,26.257999420166016,26.257999420166016,1500.0
2025-06-17,27.231000900268555,27.231000900268555,27.231000900268555,27.231000900268555,100.0
2025-06-18,28.033000946044922,28.033000946044922,28.033000946044922,28.033000946044922,100.0
2025-06-20,28.059999465942383,28.059999465942383,27.947999954223633,27.947999954223633,500.0
2025-06-23,28.23200035095215,28.23200035095215,28.23200035095215,28.23200035095215,700.0
2025-06-24,26.110000610351562,26.934999465942383,26.110000610351562,26.934999465942383,1400.0
2025-06-25,26.0,26.0,25.209999084472656,25.209999084472656,700.0
2025-06-26,25.381999969482422,25.381999969482422,25.381999969482422,25.381999969482422,100.0
2025-06-27,25.75,25.75,25.708999633789062,25.708999633789062,300.0
2025-06-30,22.760000228881836,23.158000946044922,22.760000228881836,23.158000946044922,200.0
2025-07-01,26.31999969482422,26.56399917602539,26.31999969482422,26.56399917602539,300.0
2025-07-02,25.09000015258789,25.100000381469727,22.573999404907227,22.573999404907227,1700.0
2025-07-03,22.469999313354492,22.469999313354492,22.392000198364258,22.392000198364258,3100.0
2025-07-07,22.450000762939453,23.10099983215332,22.450000762939453,23.10099983215332,1300.0
2025-07-08,23.059999465942383,23.34000015258789,22.989999771118164,23.020000457763672,2800.0
2025-07-09,20.93199920654297,20.93199920654297,20.93199920654297,20.93199920654297,100.0
2025-07-10,20.450000762939453,20.450000762939453,20.450000762939453,20.450000762939453,200.0
2025-07-11,19.0,19.860000610351562,18.77899932861328,19.020000457763672,10700.0
2025-07-14,17.55699920654297,18.280000686645508,17.518999099731445,17.518999099731445,3800.0
2025-07-15,18.229999542236328,18.2450008392334,17.280000686645508,18.2450008392334,3800.0
2025-07-16,17.770000457763672,17.829999923706055,17.131999969482422,17.131999969482422,1400.0
2025-07-17,17.639999389648438,17.639999389648438,17.299999237060547,17.489900588989258,958.0
