Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,,,,,
2025-04-23,,,,,
2025-04-24,,,,,
2025-04-25,,,,,
2025-04-28,,,,,
2025-04-29,,,,,
2025-04-30,,,,,
2025-05-01,,,,,
2025-05-02,,,,,
2025-05-05,,,,,
2025-05-06,,,,,
2025-05-07,,,,,
2025-05-08,,,,,
2025-05-09,,,,,
2025-05-12,,,,,
2025-05-13,,,,,
2025-05-14,,,,,
2025-05-15,,,,,
2025-05-16,,,,,
2025-05-19,,,,,
2025-05-20,,,,,
2025-05-21,,,,,
2025-05-22,,,,,
2025-05-23,,,,,
2025-05-27,,,,,
2025-05-28,,,,,
2025-05-29,,,,,
2025-05-30,,,,,
2025-06-02,,,,,
2025-06-03,,,,,
2025-06-04,,,,,
2025-06-05,,,,,
2025-06-06,,,,,
2025-06-09,,,,,
2025-06-10,,,,,
2025-06-11,,,,,
2025-06-12,,,,,
2025-06-13,,,,,
2025-06-16,,,,,
2025-06-17,,,,,
2025-06-18,21.0,21.43000030517578,19.110000610351562,20.25,11950500.0
2025-06-20,20.25,25.899999618530273,19.5,23.299999237060547,6588300.0
2025-06-23,22.799999237060547,23.43000030517578,21.26099967956543,22.34000015258789,1232300.0
2025-06-24,22.290000915527344,22.68000030517578,20.25,21.739999771118164,899800.0
2025-06-25,21.540000915527344,22.6200008392334,20.542999267578125,21.31999969482422,3026500.0
2025-06-26,20.809999465942383,21.799999237060547,20.329999923706055,21.100000381469727,682800.0
2025-06-27,20.420000076293945,22.149999618530273,20.350000381469727,20.649999618530273,1195700.0
2025-06-30,20.520000457763672,21.690000534057617,19.225000381469727,21.65999984741211,1786500.0
2025-07-01,21.59000015258789,21.656999588012695,20.530000686645508,21.010000228881836,951500.0
2025-07-02,21.020000457763672,21.020000457763672,19.760000228881836,20.510000228881836,900800.0
2025-07-03,20.459999084472656,20.799999237060547,20.139999389648438,20.790000915527344,311200.0
2025-07-07,20.420000076293945,20.950000762939453,19.299999237060547,19.469999313354492,885400.0
2025-07-08,19.270000457763672,19.489999771118164,18.541000366210938,19.100000381469727,358900.0
2025-07-09,19.0,19.450000762939453,18.31999969482422,18.700000762939453,377600.0
2025-07-10,18.649999618530273,19.211000442504883,17.770000457763672,18.969999313354492,357800.0
2025-07-11,18.700000762939453,19.645000457763672,18.423999786376953,19.190000534057617,359400.0
2025-07-14,18.8700008392334,19.950000762939453,18.615999221801758,19.440000534057617,368300.0
2025-07-15,19.450000762939453,19.854999542236328,18.229999542236328,18.530000686645508,592300.0
2025-07-16,18.389999389648438,19.010000228881836,17.299999237060547,18.899999618530273,779300.0
2025-07-17,19.049999237060547,19.139999389648438,17.770099639892578,18.6299991607666,217691.0
