Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,49.95053898907923,49.98020926805128,49.91889572143555,49.91889572143555,22600.0
2025-04-16,49.87142526429389,49.98514938354492,49.87142526429389,49.98514938354492,20000.0
2025-04-17,50.12854774833114,50.18986129760742,50.12854774833114,50.18986129760742,22300.0
2025-04-21,49.9307656612199,49.9307656612199,49.9139518737793,49.9139518737793,100.0
2025-04-22,50.108768622281836,50.11865997314453,50.08899346544651,50.11865997314453,13700.0
2025-04-23,50.37775802612305,50.37775802612305,50.37775802612305,50.37775802612305,100.0
2025-04-24,50.67641067504883,50.67641067504883,50.67641067504883,50.67641067504883,100.0
2025-04-25,50.726844787597656,50.726844787597656,50.726844787597656,50.726844787597656,0.0
2025-04-28,50.74168014526367,50.74168014526367,50.74168014526367,50.74168014526367,100.0
