Data,Ativo,Preço_Sinal,Volume,Volume_Medio,Retorno_5d,Preço_5d,Retorno_10d,Preço_10d,Retorno_20d,Preço_20d
2025-05-12 00:00:00,A,115.30716705322266,2873100.0,1603250.0,-1.83,113.2,-3.71,111.03,4.3,120.27
2025-05-12 00:00:00,AA,28.02438735961914,11556300.0,6034550.0,4.59,29.31,0.81,28.25,2.62,28.76
2025-05-30 00:00:00,AACB,10.074999809265137,135600.0,9610.0,0.35,10.11,0.55,10.13,0.45,10.12
2025-06-04 00:00:00,AACB,10.100000381469728,366600.0,22130.0,0.1,10.11,0.4,10.14,0.0,10.1
2025-06-12 00:00:00,AACB,10.130000114440918,1103500.0,124910.0,0.2,10.15,-0.3,10.1,-0.1,10.12
2025-02-21 00:00:00,AACG,0.9399999976158142,140600.0,11870.0,-11.7,0.83,12.77,1.06,4.26,0.98
2025-03-11 00:00:00,AACT,11.15999984741211,4753100.0,607230.0,0.09,11.17,0.09,11.17,0.09,11.17
2025-05-29 00:00:00,AACT,11.300000190734863,1507300.0,702850.0,1.06,11.42,0.09,11.31,0.09,11.31
2025-05-30 00:00:00,AACT,11.4399995803833,2811500.0,787870.0,-0.17,11.42,-1.22,11.3,-0.96,11.33
2025-06-02 00:00:00,AACT,11.539999961853027,2175600.0,895280.0,-1.21,11.4,-2.08,11.3,-1.99,11.31
2025-07-14 00:00:00,AACT,11.390000343322754,414000.0,232970.0,,,,,,
2025-07-10 00:00:00,AAL,12.9399995803833,148906600.0,45313310.0,-3.79,12.45,,,,
2025-03-31 00:00:00,AAM,10.43000030517578,280900.0,45850.0,-1.53,10.27,-1.25,10.3,-1.15,10.31
2025-03-25 00:00:00,AAME,1.7528244256973269,44900.0,6830.0,-12.36,1.54,-26.4,1.29,-12.14,1.54
2025-05-07 00:00:00,AAME,1.690000057220459,68000.0,8190.0,0.59,1.7,1.18,1.71,2.37,1.73
2025-05-08 00:00:00,AAME,1.7999999523162842,25300.0,14420.0,-1.11,1.78,-5.56,1.7,-4.44,1.72
2025-06-20 00:00:00,AAME,1.919999957084656,12800.0,5650.0,6.25,2.04,18.23,2.27,,
2025-06-23 00:00:00,AAME,2.0799999237060547,26700.0,6240.0,2.4,2.13,5.77,2.2,,
2025-07-01 00:00:00,AAME,2.369999885559082,113000.0,11210.0,-6.75,2.21,-19.41,1.91,,
2025-05-01 00:00:00,AAMI,28.19111633300781,382900.0,241240.0,4.61,29.49,8.16,30.49,6.77,30.1
2025-06-27 00:00:00,AAMI,35.2599983215332,620200.0,212560.0,7.71,37.98,12.42,39.64,,
2025-05-12 00:00:00,AAOI,18.239999771118164,7280000.0,3509600.0,4.39,19.04,1.75,18.56,-9.87,16.44
2025-05-13 00:00:00,AAOI,20.290000915527344,6945600.0,3937290.0,-6.55,18.96,-13.01,17.65,-19.57,16.32
2025-06-18 00:00:00,AAOI,19.770000457763672,10371100.0,4984640.0,40.47,27.77,44.97,28.66,,
2025-06-20 00:00:00,AAOI,23.450000762939453,13947100.0,5808040.0,11.81,26.22,12.75,26.44,,
2025-05-01 00:00:00,AAON,96.3582992553711,1581600.0,697300.0,3.08,99.33,7.93,104.0,-0.18,96.19
2025-03-27 00:00:00,AAP,39.88825225830078,4834500.0,1756840.0,-9.29,36.18,-20.31,31.79,-17.92,32.74
2025-05-22 00:00:00,AAP,48.963748931884766,27499800.0,2554130.0,-2.52,47.73,6.77,52.28,5.61,51.71
2025-07-01 00:00:00,AAPB,20.670000076293945,555900.0,272970.0,2.81,21.25,1.69,21.02,,
2025-04-03 00:00:00,AAPD,18.375293731689453,3307500.0,1570580.0,3.14,18.95,-0.49,18.29,-4.65,17.52
2025-04-04 00:00:00,AAPD,19.706260681152344,4693300.0,1785670.0,-7.61,18.21,-5.34,18.65,-8.22,18.09
2025-04-07 00:00:00,AAPD,20.45120429992676,9505700.0,2100320.0,-13.02,17.79,-11.9,18.02,-11.36,18.13
2025-03-28 00:00:00,AAPG,21.649999618530277,38700.0,24010.0,-3.23,20.95,-13.63,18.7,16.81,25.29
2025-04-01 00:00:00,AAPG,23.040000915527344,70200.0,26260.0,-15.54,19.46,-15.58,19.45,6.03,24.43
2025-06-03 00:00:00,AAPG,27.75,19200.0,12360.0,7.75,29.9,14.02,31.64,43.6,39.85
2025-06-09 00:00:00,AAPG,29.8799991607666,43200.0,12290.0,7.53,32.13,32.86,39.7,40.13,41.87
2025-06-18 00:00:00,AAPG,35.880001068115234,24700.0,12470.0,13.74,40.81,19.43,42.85,12.88,40.5
2025-06-20 00:00:00,AAPG,37.380001068115234,25200.0,13990.0,5.94,39.6,12.47,42.04,,
2025-06-24 00:00:00,AAPG,39.70000076293945,25500.0,16630.0,-1.79,38.99,5.47,41.87,,
2025-07-03 00:00:00,AAPG,42.84999847412109,22500.0,14310.0,-10.76,38.24,-5.48,40.5,,
2025-07-01 00:00:00,AAPU,22.479999542236328,10140900.0,4581490.0,2.94,23.14,1.82,22.89,,
2025-07-02 00:00:00,AAPU,23.46999931335449,8048700.0,5364310.0,-0.21,23.42,-2.56,22.87,,
2025-05-02 00:00:00,AARD,12.859999656677246,162000.0,75260.0,-18.97,10.42,-23.09,9.89,-13.45,11.13
2025-06-23 00:00:00,AARD,13.329999923706056,87800.0,37320.0,1.43,13.52,-2.18,13.04,,
2025-06-24 00:00:00,AARD,15.760000228881836,169700.0,43130.0,-13.96,13.56,-19.23,12.73,,
2025-04-11 00:00:00,AAUC,12.029999732971191,49767.0,24353.3,-2.0,11.79,-0.5,11.97,-2.22,11.76
2025-05-30 00:00:00,AAUC,14.3100004196167,196600.0,65953.3,4.19,14.91,7.27,15.35,-5.52,13.52
2025-05-06 00:00:00,AAVM,25.277999877929688,4200.0,1260.0,1.08,25.55,3.24,26.1,4.32,26.37
2025-05-13 00:00:00,AAVM,25.549999237060547,15300.0,2610.0,2.14,26.1,1.72,25.99,3.35,26.41
2025-05-02 00:00:00,AAXJ,75.69135284423828,724200.0,425110.0,-0.26,75.49,3.18,78.09,2.61,77.67
2025-06-11 00:00:00,AAXJ,81.31208801269531,1292500.0,412270.0,-1.45,80.13,1.94,82.89,1.73,82.72
2025-06-25 00:00:00,AAXJ,82.55999755859375,1079300.0,671450.0,0.61,83.06,0.38,82.87,,
2025-07-16 00:00:00,AAXJ,84.12999725341797,935000.0,526770.0,,,,,,
2025-05-01 00:00:00,AB,40.03819274902344,728100.0,299370.0,2.15,40.9,1.0,40.44,-0.22,39.95
2025-03-27 00:00:00,ABAT,1.1799999475479126,3171900.0,757610.0,-14.41,1.01,-18.05,0.97,-2.54,1.15
2025-04-29 00:00:00,ABAT,1.5299999713897705,7622200.0,848480.0,-7.84,1.41,-8.5,1.4,-11.11,1.36
